ref,rock,type,A_mpa_coef,A_mpa_exp,A_pa_coef,A_pa_exp,m,n,Ea,Va
@hirth2003,Dry mantle,Diff,1.5,9.0,NA,NA,3.0,1.0,375e3,6.0e-6
@hirth2003,Wet mantle,Diff,2.5,7.0,NA,NA,3.0,1.0,375e3,10.0e-6
@hirth2003,Dry mantle,Disl,1.1,5.0,NA,NA,0.0,3.5,530e3,6.5e-6
@hirth2003,Wet mantle,Disl,1.6,3.0,NA,NA,0.0,3.5,520e3,22.0e-6
@ranalli1995,Dry olivine,Disl,2.5,4.0,NA,NA,0.0,3.5,532e3,NA
@ranalli1995,Wet olivine,Disl,2.0,3.0,NA,NA,0.0,4,471e3,NA
@ranalli1995,Rock salt,Disl,6.3,0.0,NA,NA,0.0,5.3,102e3,NA
@ranalli1995,Quartz,Disl,1.0,-3.0,NA,NA,0.0,2.0,167e3,NA
@ranalli1995,Plag An75,Disl,3.3,-4.0,NA,NA,0.0,3.2,238e3,NA
@ranalli1995,Orthopyroxene,Disl,3.2,-1.0,NA,NA,0.0,2.4,293e3,NA
@ranalli1995,Clinopyroxene,Disl,15.7,0.0,NA,NA,0.0,2.6,335e3,NA
@ranalli1995,Dry granite,Disl,1.8,-9.0,NA,NA,0.0,3.2,123e3,NA
@ranalli1995,Wet granite,Disl,2.0,-4.0,NA,NA,0.0,1.9,137e3,NA
@ranalli1995,Dry quartzite,Disl,6.7,-6.0,NA,NA,0.0,2.4,156e3,NA
@ranalli1995,Wet quartzite,Disl,3.2,-4.0,NA,NA,0.0,2.3,154e3,NA
@ranalli1995,Quartz Diorite,Disl,1.3,-3.0,NA,NA,0.0,2.4,219e3,NA
@ranalli1995,Diabase,Disl,2.0,-4.0,NA,NA,0.0,3.4,260e3,NA
@ranalli1995,Anorthosite,Disl,3.2,-4.0,NA,NA,0.0,3.2,238e3,NA
@ranalli1995,Felsic granulite,Disl,8.0,-3.0,NA,NA,0.0,3.1,243e3,NA
@ranalli1995,Mafic granulite,Disl,1.4,4.0,NA,NA,0.0,4.2,445e3,NA
