model_id,timestep,time_myr,deflection,sharpness
plume_lnk15_Ha274_d5mm_060ppm,0,0.0,927.09375,-825.0
plume_lnk15_Ha274_d5mm_060ppm,5,5.005,14044.7109375,-7378.7890625
plume_lnk15_Ha274_d5mm_060ppm,10,10.0237,-14092.96875,-4299.484375
plume_lnk15_Ha274_d5mm_060ppm,15,15.009,-12284.046875,-4035.671875
plume_lnk15_Ha274_d5mm_060ppm,20,20.0017,-11856.609375,-4355.28125
plume_lnk15_Ha274_d5mm_060ppm,25,25.0287,-12004.53125,-4253.875
plume_lnk15_Ha274_d5mm_060ppm,30,30.0054,-12018.65625,-4236.984375
plume_lnk15_Ha274_d5mm_060ppm,35,35.0249,-12035.953125,-4216.21875
plume_lnk15_Ha274_d5mm_060ppm,40,40.0166,-12026.484375,-4213.859375
plume_lnk15_Ha274_d5mm_060ppm,45,45.0145,-11993.65625,-4228.953125
plume_lnk15_Ha274_d5mm_060ppm,50,50.0175,-11931.921875,-4266.765625
plume_lnk15_Ha274_d5mm_060ppm,55,55.0254,-11839.3125,-4330.203125
plume_lnk15_Ha274_d5mm_060ppm,60,60.0033,-11714.59375,-4421.71875
plume_lnk15_Ha274_d5mm_060ppm,65,65.0204,-11557.046875,-4542.875
plume_lnk15_Ha274_d5mm_060ppm,70,70.006,-11369.828125,-4692.546875
plume_lnk15_Ha274_d5mm_060ppm,75,75.0298,-11343.75,-4680.296875
plume_lnk15_Ha274_d5mm_060ppm,80,80.0218,-11343.75,-4642.78125
plume_lnk15_Ha274_d5mm_060ppm,85,85.0166,-11343.75,-4125.0
plume_lnk15_Ha274_d5mm_060ppm,90,90.014,-11343.75,-4125.0
plume_lnk15_Ha274_d5mm_060ppm,95,95.0132,-11343.75,-4125.0
plume_lnk15_Ha274_d5mm_060ppm,100,100.0,-11343.75,-4125.0
plume_lnk16_Ha274_d5mm_060ppm,0,0.0,927.09375,-825.0
plume_lnk16_Ha274_d5mm_060ppm,5,5.005,19557.359375,-11451.5078125
plume_lnk16_Ha274_d5mm_060ppm,10,10.0285,-10027.0625,-7215.734375
plume_lnk16_Ha274_d5mm_060ppm,15,15.0242,-9609.140625,-6184.25
plume_lnk16_Ha274_d5mm_060ppm,20,20.032,-8929.46875,-6509.828125
plume_lnk16_Ha274_d5mm_060ppm,25,25.0046,-9195.5625,-6397.828125
plume_lnk16_Ha274_d5mm_060ppm,30,30.0257,-9213.328125,-6255.421875
plume_lnk16_Ha274_d5mm_060ppm,35,35.02,-9255.625,-6213.125
plume_lnk16_Ha274_d5mm_060ppm,40,40.0198,-9279.8125,-6188.9375
plume_lnk16_Ha274_d5mm_060ppm,45,45.0254,-9281.25,-6264.34375
plume_lnk16_Ha274_d5mm_060ppm,50,50.0015,-9281.25,-6231.484375
plume_lnk16_Ha274_d5mm_060ppm,55,55.0168,-9263.0,-6207.8125
plume_lnk16_Ha274_d5mm_060ppm,60,60.0011,-9218.796875,-6249.953125
plume_lnk16_Ha274_d5mm_060ppm,65,65.0244,-9153.515625,-6315.234375
plume_lnk16_Ha274_d5mm_060ppm,70,70.0166,-9069.0625,-6399.6875
plume_lnk16_Ha274_d5mm_060ppm,75,75.0116,-8966.3125,-6502.4375
plume_lnk16_Ha274_d5mm_060ppm,80,80.0091,-8846.796875,-6621.953125
plume_lnk16_Ha274_d5mm_060ppm,85,85.0091,-8715.234375,-6753.515625
plume_lnk16_Ha274_d5mm_060ppm,90,90.0114,-8577.328125,-6891.421875
plume_lnk16_Ha274_d5mm_060ppm,95,95.01591,-8433.140625,-6869.953125
plume_lnk16_Ha274_d5mm_060ppm,100,100.0,-8463.671875,-6830.09375
plume_lnk17_Ha274_d5mm_060ppm,0,0.0,927.09375,-825.0
plume_lnk17_Ha274_d5mm_060ppm,5,5.005,28206.2578125,-17847.0078125
plume_lnk17_Ha274_d5mm_060ppm,10,10.015,25244.9609375,-40189.6171875
plume_lnk17_Ha274_d5mm_060ppm,15,15.0221,-5333.765625,-9507.890625
plume_lnk17_Ha274_d5mm_060ppm,20,20.0329,-3934.015625,-10251.96875
plume_lnk17_Ha274_d5mm_060ppm,25,25.0118,-4254.46875,-10183.03125
plume_lnk17_Ha274_d5mm_060ppm,30,30.0312,-4210.046875,-10193.8125
plume_lnk17_Ha274_d5mm_060ppm,35,35.0236,-4191.3125,-10247.5
plume_lnk17_Ha274_d5mm_060ppm,40,40.0206,-4156.765625,-10280.734375
plume_lnk17_Ha274_d5mm_060ppm,45,45.0222,-4125.0,-10312.5
plume_lnk17_Ha274_d5mm_060ppm,50,50.0282,-4125.0,-10312.5
plume_lnk17_Ha274_d5mm_060ppm,55,55.0037,-4125.0,-10312.5
plume_lnk17_Ha274_d5mm_060ppm,60,60.0179,-4125.0,-10312.5
plume_lnk17_Ha274_d5mm_060ppm,65,65.0001,-4125.0,-10312.5
plume_lnk17_Ha274_d5mm_060ppm,70,70.0202,-4125.0,-10312.5
plume_lnk17_Ha274_d5mm_060ppm,75,75.0082,-4125.0,-10326.25
plume_lnk17_Ha274_d5mm_060ppm,80,80.034,-4125.0,-10314.5625
plume_lnk17_Ha274_d5mm_060ppm,85,85.0272,-4125.0,-10284.8125
plume_lnk17_Ha274_d5mm_060ppm,90,90.0222,-4125.0,-10272.171875
plume_lnk17_Ha274_d5mm_060ppm,95,95.01871,-4125.0,-10259.640625
plume_lnk17_Ha274_d5mm_060ppm,100,100.0,-4125.0,-10252.0625
plume_lnk18_Ha274_D1e06_060ppm,0,0.0,927.09375,-825.0
plume_lnk18_Ha274_D1e06_060ppm,5,5.005,33524.5390625,-21275.875
plume_lnk18_Ha274_D1e06_060ppm,10,10.0005,38902.5546875,-51730.7421875
plume_lnk18_Ha274_D1e06_060ppm,15,15.0171,-1490.59375,-12568.46875
plume_lnk18_Ha274_D1e06_060ppm,20,20.033,742.34375,-13856.046875
plume_lnk18_Ha274_D1e06_060ppm,25,25.0255,155.578125,-13561.828125
plume_lnk18_Ha274_D1e06_060ppm,30,30.0149,212.578125,-13646.359375
plume_lnk18_Ha274_D1e06_060ppm,35,35.0127,223.890625,-13630.140625
plume_lnk18_Ha274_D1e06_060ppm,40,40.0146,246.3125,-13688.828125
plume_lnk18_Ha274_D1e06_060ppm,45,45.0204,275.75,-13713.71875
plume_lnk18_Ha274_D1e06_060ppm,50,50.03,309.921875,-13738.75
plume_lnk18_Ha274_D1e06_060ppm,55,55.0079,0.0,-13415.15625
plume_lnk18_Ha274_D1e06_060ppm,60,60.0248,0.0,-13406.25
plume_lnk18_Ha274_D1e06_060ppm,65,65.0097,425.734375,-13831.984375
plume_lnk18_Ha274_D1e06_060ppm,70,70.0323,463.96875,-13870.21875
plume_lnk18_Ha274_D1e06_060ppm,75,75.0218,500.40625,-13906.65625
plume_lnk18_Ha274_D1e06_060ppm,80,80.013504,534.765625,-13941.015625
plume_lnk18_Ha274_D1e06_060ppm,85,85.0074,566.75,-13973.0
plume_lnk18_Ha274_D1e06_060ppm,90,90.0032,596.21875,-14002.46875
plume_lnk18_Ha274_D1e06_060ppm,95,95.001,623.0625,-14029.3125
plume_lnk18_Ha274_D1e06_060ppm,100,100.0,646.609375,-14052.859375
plume_lnk18_Ha274_D1e08_060ppm,0,0.0,927.09375,-825.0
plume_lnk18_Ha274_D1e08_060ppm,5,5.005,15405.859375,-8368.2109375
plume_lnk18_Ha274_D1e08_060ppm,10,10.0075,-13119.84375,-5068.40625
plume_lnk18_Ha274_D1e08_060ppm,15,15.0197,-11559.703125,-4646.453125
plume_lnk18_Ha274_D1e08_060ppm,20,20.0154,-11185.625,-4873.953125
plume_lnk18_Ha274_D1e08_060ppm,25,25.0107,-11343.75,-4781.296875
plume_lnk18_Ha274_D1e08_060ppm,30,30.0233,-11343.75,-4777.609375
plume_lnk18_Ha274_D1e08_060ppm,35,35.0093,-11343.75,-4774.84375
plume_lnk18_Ha274_D1e08_060ppm,40,40.0017,-11343.75,-4762.546875
plume_lnk18_Ha274_D1e08_060ppm,45,45.0002,-11343.75,-4743.859375
plume_lnk18_Ha274_D1e08_060ppm,50,50.004,-11343.75,-4718.265625
plume_lnk18_Ha274_D1e08_060ppm,55,55.0124,-11343.75,-4686.734375
plume_lnk18_Ha274_D1e08_060ppm,60,60.0255,-11343.75,-4650.390625
plume_lnk18_Ha274_D1e08_060ppm,65,65.0083,-11343.75,-4610.8125
plume_lnk18_Ha274_D1e08_060ppm,70,70.0292,-11316.640625,-4596.234375
plume_lnk18_Ha274_D1e08_060ppm,75,75.01849,-11277.796875,-4190.953125
plume_lnk18_Ha274_D1e08_060ppm,80,80.010704,-11241.5,-4227.25
plume_lnk18_Ha274_D1e08_060ppm,85,85.0058,-11208.484375,-4260.265625
plume_lnk18_Ha274_D1e08_060ppm,90,90.0034,-11179.234375,-4289.515625
plume_lnk18_Ha274_D1e08_060ppm,95,95.003105,-11153.65625,-4562.34375
plume_lnk18_Ha274_D1e08_060ppm,100,100.0,-11167.28125,-4520.625
plume_lnk18_Ha274_D1e10_060ppm,0,0.0,927.09375,-825.0
plume_lnk18_Ha274_D1e10_060ppm,5,5.005,8362.921875,-3160.8828125
plume_lnk18_Ha274_D1e10_060ppm,10,10.0236,-16932.46875,-2641.609375
