# This ASPECT-compatible file contains material properties evaluated along an isentrope by the BurnMan software.
# POINTS: 501
# depth (m), pressure (Pa), temperature (K), density (kg/m^3), gravity (m/s^2), thermal expansivity (1/K), specific heat (J/K/kg), compressibility (1/Pa), molar volume (m^3/mol), molar entropy (J/K/mol), molar Gibbs (J/mol), Vp (m/s), Vs (m/s), dVp/dT (m/s/K), dVs/dT (m/s/K)
depth	pressure	temperature	density	gravity	thermal_expansivity	specific_heat	compressibility	molar_volume	molar_entropy	molar_gibbs	seismic_vp	seismic_vs	seismic_dvp_dt	seismic_dvs_dt
0.0000000000e+00	1.0000000000e+05	1.5730000000e+03	3.1201591429e+03	9.8100000000e+00	4.0555714286e-05	1.2556155294e+03	1.0741303380e-11	3.2050028571e-05	2.5164733070e+02	-1.5970752290e+06	7.2594177143e+03	4.1407734286e+03	-7.1410285715e-01	-3.7664571429e-01
8.8434468304e+03	2.7209980000e+08	1.5752464034e+03	3.1492851789e+03	9.8140126410e+00	4.0358140463e-05	1.2548872042e+03	1.0459831629e-11	3.1761554959e-05	2.5164733070e+02	-1.5890413961e+06	7.3321364208e+03	4.1913311781e+03	-7.1161438285e-01	-3.9277471428e-01
1.7601729522e+04	5.4409960000e+08	1.5774814598e+03	3.1783740650e+03	9.8178203251e+00	4.0155433983e-05	1.2541450072e+03	1.0192691392e-11	3.1473357799e-05	2.5164733070e+02	-1.5810047293e+06	7.4048743539e+03	4.2418211030e+03	-7.0912590857e-01	-4.0890371429e-01
2.6277603798e+04	8.1609940000e+08	1.5797052551e+03	3.2074260819e+03	9.8214291256e+00	3.9947633638e-05	1.2533890431e+03	9.9388156036e-12	3.1185435004e-05	2.5164733070e+02	-1.5729652502e+06	7.4776313683e+03	4.2922437158e+03	-7.0663743428e-01	-4.2503271428e-01
3.4870817116e+04	1.0880992000e+09	1.5821057384e+03	3.2353961153e+03	9.8248362181e+00	3.9696166049e-05	1.2525800273e+03	9.6973882366e-12	3.0908553997e-05	2.5164733070e+02	-1.5649854002e+06	7.5491187969e+03	4.3403332565e+03	-7.1067458287e-01	-4.4218352001e-01
4.3407889508e+04	1.3600990000e+09	1.5872728551e+03	3.2476916111e+03	9.8281218699e+00	3.8866701642e-05	1.2511589705e+03	9.4718820003e-12	3.0792928400e-05	2.5164733070e+02	-1.5579272819e+06	7.6009088792e+03	4.3545132009e+03	-8.1178037143e-01	-4.7453368571e-01
5.1912819568e+04	1.6320988000e+09	1.5923977413e+03	3.2597869823e+03	9.8313600979e+00	3.8034831246e-05	1.2497010374e+03	9.2608924936e-12	3.0679042060e-05	2.5164733070e+02	-1.5508589551e+06	7.6516926624e+03	4.3683802370e+03	-9.1288616000e-01	-5.0688385142e-01
6.0383027666e+04	1.9040986000e+09	1.5974809127e+03	3.2716846724e+03	9.8345417794e+00	3.7200584239e-05	1.2482066785e+03	9.0631348557e-12	3.0566873741e-05	2.5164733070e+02	-1.5437805446e+06	7.7014824328e+03	4.3819381854e+03	-1.0139919486e+00	-5.3923401714e-01
6.8820303434e+04	2.1760984000e+09	1.6025686932e+03	3.2832641215e+03	9.8376721908e+00	3.6395921491e-05	1.2467551198e+03	8.8786444280e-12	3.0457996817e-05	2.5164733070e+02	-1.5367133723e+06	7.7497265607e+03	4.3951468506e+03	-1.1602836114e+00	-5.8708834286e-01
7.7225944413e+04	2.4480982000e+09	1.6078215022e+03	3.2942994364e+03	9.8407543175e+00	3.5789172440e-05	1.2457922248e+03	8.7041011819e-12	3.0357095734e-05	2.5164733070e+02	-1.5298046203e+06	7.7958395947e+03	4.4086753101e+03	-1.0267354914e+00	-5.4377045714e-01
8.5600713683e+04	2.7200980000e+09	1.6131589742e+03	3.3055516991e+03	9.8437904585e+00	3.5170530346e-05	1.2448141953e+03	8.5322533648e-12	3.0254070440e-05	2.5164733070e+02	-1.5229177188e+06	7.8432800143e+03	4.4226164810e+03	-8.9318737142e-01	-5.0045257142e-01
9.3944178875e+04	2.9920978000e+09	1.6185831725e+03	3.3170261973e+03	9.8467783898e+00	3.4539705341e-05	1.2438206624e+03	8.3630889078e-12	3.0148869160e-05	2.5164733070e+02	-1.5160532005e+06	7.8920801718e+03	4.4369804222e+03	-7.5963925143e-01	-4.5713468571e-01
