|6.6.6
PYR_1.tab                                                                                           
           2
T(K)    
   773.00000000000000     
   27.559055118110237     
         128
P(bar)  
   1.0000000000000000     
   10708.653543307086     
         128
          14
T(K)           P(bar)         rho,kg/m3      alpha,1/K      beta,1/bar     Ks,bar         Gs,bar         v0,km/s        vp,km/s        vs,km/s        s,J/K/kg       h,J/kg         cp,J/K/kg      V,J/bar/mol   
  773.000        1.00000        3171.18       0.346292E-004  0.110725E-005  0.101077E+007   616546.        5.64567        7.60240        4.40933        1655.68      -0.129865E+008   1160.17        3.15343     
  800.559        1.00000        3168.11       0.365057E-004  0.114864E-005   994825.        613375.        5.60368        7.56411        4.40010        1696.47      -0.129544E+008   1167.33        3.15648     
  828.118        1.00000        3164.80       0.411545E-004  0.125437E-005   964032.        610176.        5.51916        7.49452        4.39091        1736.16      -0.129221E+008   1177.41        3.15979     
  855.677        1.00000        3160.83       0.291601E-004  0.971392E-006  0.107583E+007   606920.        5.83406        7.72256        4.38192        1774.98      -0.128894E+008   1168.23        3.16375     
  883.236        1.00000        3158.33       0.294163E-004  0.975446E-006  0.107211E+007   603766.        5.82627        7.70936        4.37226        1812.11      -0.128571E+008   1172.49        3.16626     
  910.795        1.00000        3155.81       0.296705E-004  0.979568E-006  0.106836E+007   600602.        5.81840        7.69606        4.36253        1848.23      -0.128247E+008   1176.51        3.16879     
  938.354        1.00000        3172.70       0.312121E-004  0.987520E-006  0.105868E+007   605022.        5.77653        7.66775        4.36688        1883.53      -0.127921E+008   1180.96        3.15192     
  965.913        1.00000        3182.34       0.323320E-004  0.995549E-006  0.105010E+007   606678.        5.74436        7.64305        4.36622        1917.99      -0.127593E+008   1185.06        3.14237     
  993.472        1.00000        3179.62       0.326349E-004  0.100131E-005  0.104523E+007   603431.        5.73347        7.62737        4.35638        1951.49      -0.127264E+008   1188.59        3.14506     
  1021.03        1.00000        3176.89       0.329402E-004  0.100719E-005  0.104031E+007   600179.        5.72244        7.61155        4.34650        1984.19      -0.126935E+008   1192.00        3.14777     
  1048.59        1.00000        3174.14       0.332484E-004  0.101320E-005  0.103536E+007   596922.        5.71126        7.59558        4.33656        2016.12      -0.126605E+008   1195.29        3.15049     
  1076.15        1.00000        3171.38       0.335601E-004  0.101935E-005  0.103036E+007   593659.        5.69993        7.57946        4.32658        2047.32      -0.126273E+008   1198.49        3.15324     
  1103.71        1.00000        3168.60       0.338761E-004  0.102563E-005  0.102531E+007   590393.        5.68845        7.56320        4.31655        2077.82      -0.125941E+008   1201.60        3.15600     
  1131.27        1.00000        3165.81       0.341968E-004  0.103206E-005  0.102022E+007   587123.        5.67682        7.54678        4.30648        2107.67      -0.125607E+008   1204.63        3.15878     
  1158.83        1.00000        3163.01       0.345229E-004  0.103865E-005  0.101508E+007   583849.        5.66501        7.53020        4.29636        2136.88      -0.125273E+008   1207.61        3.16158     
  1186.39        1.00000        3160.19       0.348550E-004  0.104540E-005  0.100990E+007   580574.        5.65304        7.51347        4.28620        2165.49      -0.124937E+008   1210.54        3.16440     
  1213.94        1.00000        3157.37       0.351937E-004  0.105231E-005  0.100466E+007   577297.        5.64089        7.49656        4.27599        2193.52      -0.124601E+008   1213.43        3.16723     
  1241.50        1.00000        3154.53       0.355397E-004  0.105940E-005   999377.        574019.        5.62856        7.47949        4.26575        2221.01      -0.124263E+008   1216.28        3.17007     
  1269.06        1.00000        3151.69       0.358935E-004  0.106667E-005   994038.        570741.        5.61604        7.46225        4.25547        2247.97      -0.123925E+008   1219.11        3.17293     
  1296.62        1.00000        3148.84       0.362559E-004  0.107414E-005   988643.        567464.        5.60331        7.44484        4.24516        2274.44      -0.123586E+008   1221.93        3.17581     
  1324.18        1.00000        3145.98       0.366276E-004  0.108182E-005   983191.        564189.        5.59038        7.42724        4.23482        2300.42      -0.123245E+008   1224.74        3.17869     
  1351.74        1.00000        3143.11       0.370094E-004  0.108971E-005   977680.        560918.        5.57723        7.40946        4.22444        2325.95      -0.122904E+008   1227.55        3.18159     
  1379.30        1.00000        3140.25       0.374022E-004  0.109783E-005   972108.        557651.        5.56385        7.39148        4.21405        2351.04      -0.122561E+008   1230.37        3.18450     
  1406.86        1.00000        3137.38       0.378066E-004  0.110620E-005   966472.        554391.        5.55024        7.37332        4.20363        2375.71      -0.122217E+008   1233.20        3.18741     
  1434.42        1.00000        3134.51       0.382239E-004  0.111482E-005   960771.        551139.        5.53637        7.35496        4.19320        2399.97      -0.121873E+008   1236.05        3.19033     
  1461.98        1.00000        3131.64       0.386550E-004  0.112371E-005   955000.        547897.        5.52225        7.33639        4.18277        2423.85      -0.121527E+008   1238.92        3.19325     
  1489.54        1.00000        3128.77       0.391008E-004  0.113290E-005   949158.        544667.        5.50785        7.31761        4.17233        2447.36      -0.121180E+008   1241.83        3.19617     
  1517.09        1.00000        3125.92       0.395628E-004  0.114240E-005   943239.        541450.        5.49316        7.29862        4.16189        2470.51      -0.120832E+008   1244.79        3.19909     
  1544.65        1.00000        3123.07       0.400423E-004  0.115223E-005   937241.        538252.        5.47816        7.27941        4.15147        2493.33      -0.120483E+008   1247.79        3.20201     
  1572.21        1.00000        3120.24       0.405409E-004  0.116242E-005   931162.        535073.        5.46284        7.25998        4.14107        2515.81      -0.120132E+008   1250.85        3.20492     
  1599.77        1.00000        3117.41       0.410594E-004  0.117299E-005   924992.        531911.        5.44718        7.24030        4.13069        2537.98      -0.119781E+008   1253.97        3.20782     
  1627.33        1.00000        3114.62       0.416017E-004  0.118399E-005   918732.        528789.        5.43115        7.22040        4.12039        2559.85      -0.119428E+008   1257.17        3.21069     
  1654.89        1.00000        3111.85       0.421679E-004  0.119544E-005   912371.        525690.        5.41473        7.20025        4.11013        2581.44      -0.119073E+008   1260.45        3.21356     
  1682.45        1.00000        3109.10       0.427613E-004  0.120738E-005   905906.        522629.        5.39789        7.17984        4.09996        2602.74      -0.118718E+008   1263.82        3.21639     
  1710.01        1.00000        3106.40       0.433844E-004  0.121986E-005   899331.        519610.        5.38061        7.15917        4.08988        2623.78      -0.118361E+008   1267.30        3.21919     
  1737.57        1.00000        3103.74       0.440402E-004  0.123293E-005   892638.        516639.        5.36285        7.13823        4.07992        2644.56      -0.118003E+008   1270.89        3.22196     
  1765.13        1.00000        3101.12       0.447321E-004  0.124664E-005   885821.        513722.        5.34458        7.11703        4.07010        2665.11      -0.117643E+008   1274.62        3.22467     
