# This ASPECT-compatible file contains data to calculate the thermodynamic driving force in the PhaseTransitionKinetics material model. This table is for upper-mtz <==> upper-mantle evaluated along an isentrope produced by the BurnMan software.
# POINTS: 501
#
# pressure (Pa), temperature (K), density a (kg/m3), density b (kg/m3), thermal expansivity a (1/K), thermal expansivity b (1/K), specific heat a (J/K/kg), specific heat b (J/K/kg), compressibility a (1/Pa), compressibility b (1/Pa), seismic Vp a (m/s), seismic Vp b (m/s), seismic dVp/dT a (m/s/K), seismic dVp/dT b (m/s/K), seismic Vs a (m/s), seismic Vs b (m/s), seismic dVs/dT a (m/s/K), seismic dVs/dT b (m/s/K), molar internal energy a (J/mol), molar internal energy b (J/mol), molar Gibbs a (J/mol), molar Gibbs b (J/mol), molar entropy a (J/mol), molar entropy b (J/mol), molar volume a (m^3/mol), molar volume b (m^3/mol), delta density (kg/m3), delta thermal expansivity (1/K), delta specific heat (J/K/kg), delta compressibility (1/Pa), delta internal energy (J/mol), delta molar Gibbs (J/mol), delta molar entropy (J/K/mol), delta molar volume (m^3/mol)
pressure	temperature	density_a	density_b	thermal_expansivity_a	thermal_expansivity_b	specific_heat_a	specific_heat_b	compressibility_a	compressibility_b	pressure_wave_velocity_a	pressure_wave_velocity_b	pressure_wave_velocity_T_derivative_a	pressure_wave_velocity_T_derivative_b	shear_wave_velocity_a	shear_wave_velocity_b	shear_wave_velocity_T_derivative_a	shear_wave_velocity_T_derivative_b	molar_internal_energy_a	molar_internal_energy_b	molar_gibbs_a	molar_gibbs_b	molar_entropy_a	molar_entropy_b	molar_volume_a	molar_volume_b	delta_density	delta_thermal_expansivity	delta_specific_heat	delta_compressibility	delta_molar_internal_energy	delta_molar_gibbs	delta_molar_entropy	delta_molar_volume
1.0000000000e+05	1.5730000000e+03	3.3284882259e+03	3.0912413544e+03	4.1491320191e-05	4.1546637147e-05	1.3311986966e+03	1.3134606241e+03	7.0437490567e-12	9.3876928889e-12	8.8384985322e+03	7.8563866331e+03	-7.3084114551e-01	-6.8717799795e-01	5.1574778527e+03	4.5218943396e+03	-4.9358633269e-01	-4.6823299889e-01	-1.7881601022e+06	-1.8129791153e+06	-2.3402133241e+06	-2.3756453639e+06	3.5095832733e+02	3.5770553087e+02	4.2269940721e-05	4.5514077962e-05	-2.3724687153e+02	5.5316956239e-08	-1.7738072503e+01	2.3439438321e-12	-2.4819013093e+04	-3.5432039856e+04	6.7472035456e+00	3.2441372402e-06
2.7209980000e+08	1.5752464034e+03	3.3350825645e+03	3.0993665579e+03	4.0965181706e-05	4.0874236388e-05	1.3294552075e+03	1.3116181197e+03	6.9832825376e-12	9.2791112701e-12	8.8607024589e+03	7.8831645731e+03	-7.2293116376e-01	-6.7866892106e-01	5.1653780479e+03	4.5309770442e+03	-4.8987724357e-01	-4.6449704589e-01	-1.7884736925e+06	-1.8133500713e+06	-2.3295154586e+06	-2.3640850861e+06	3.5075189855e+02	3.5745958127e+02	4.2186361891e-05	4.5394759662e-05	-2.3571600658e+02	-9.0945317705e-08	-1.7837087877e+01	2.2958287325e-12	-2.4876378804e+04	-3.4569627492e+04	6.7076827196e+00	3.2083977713e-06
5.4409960000e+08	1.5774814598e+03	3.3416276874e+03	3.1074110561e+03	4.0453499778e-05	4.0224906626e-05	1.3277658187e+03	1.3098469333e+03	6.9240545882e-12	9.1734711059e-12	8.8826838825e+03	7.9095985057e+03	-7.1524674848e-01	-6.7046000997e-01	5.1731809843e+03	4.5399147628e+03	-4.8626986465e-01	-4.6089142355e-01	-1.7887578162e+06	-1.8136781753e+06	-2.3188357597e+06	-2.3525524178e+06	3.5055028020e+02	3.5722104231e+02	4.2103733019e-05	4.5277241234e-05	-2.3421663137e+02	-2.2859315156e-07	-1.7918885384e+01	2.2494165176e-12	-2.4920359143e+04	-3.3716658131e+04	6.6707621022e+00	3.1735082156e-06
8.1609940000e+08	1.5797052551e+03	3.3481247216e+03	3.1153771708e+03	3.9955655756e-05	3.9597424832e-05	1.3261280336e+03	1.3081430010e+03	6.8660229809e-12	9.0706428253e-12	8.9044485378e+03	7.9356994166e+03	-7.0777777755e-01	-6.6253514674e-01	5.1808891751e+03	4.5487121516e+03	-4.8275978806e-01	-4.5740930665e-01	-1.7890132095e+06	-1.8139648084e+06	-2.3081740173e+06	-2.3410469296e+06	3.5035330806e+02	3.5698961220e+02	4.2022030748e-05	4.5161465943e-05	-2.3274755084e+02	-3.5823092437e-07	-1.7985032628e+01	2.2046198444e-12	-2.4951598912e+04	-3.2872912264e+04	6.6363041443e+00	3.1394351957e-06
1.0880992000e+09	1.5821057384e+03	3.3545498486e+03	3.1232442582e+03	3.9473484203e-05	3.8992875548e-05	1.3245637063e+03	1.3065220458e+03	6.8093698808e-12	8.9708020508e-12	8.9258702242e+03	7.9613547768e+03	-7.0055740518e-01	-6.5491216748e-01	5.1884149420e+03	4.5572883582e+03	-4.7936696266e-01	-4.5406302618e-01	-1.7892059062e+06	-1.8141771120e+06	-2.2975958117e+06	-2.3296352313e+06	3.5018295712e+02	3.5678683300e+02	4.1941543977e-05	4.5047709487e-05	-2.3130559041e+02	-4.8060865456e-07	-1.8041660503e+01	2.1614321699e-12	-2.4971205831e+04	-3.2039419552e+04	6.6038758810e+00	3.1061655094e-06
1.3600990000e+09	1.5872728551e+03	3.3605652143e+03	3.1307037310e+03	3.9038617337e-05	3.8439579053e-05	1.3233967650e+03	1.3052421600e+03	6.7570346829e-12	8.8777937376e-12	8.9451611829e+03	7.9849009824e+03	-6.9413910936e-01	-6.4801389764e-01	5.1945290466e+03	4.5644814671e+03	-4.7640801654e-01	-4.5109681604e-01	-1.7888605379e+06	-1.8138472323e+06	-2.2880077956e+06	-2.3192407743e+06	3.5034291604e+02	3.5691210834e+02	4.1866469188e-05	4.4940375101e-05	-2.2986148333e+02	-5.9903828390e-07	-1.8154605090e+01	2.1207590547e-12	-2.4986694425e+04	-3.1232978692e+04	6.5691923048e+00	3.0739059127e-06
1.6320988000e+09	1.5923977413e+03	3.3665470419e+03	3.1381034603e+03	3.8613550969e-05	3.7902368831e-05	1.3222576066e+03	1.3040032290e+03	6.7055928178e-12	8.7869509907e-12	8.9643114905e+03	8.0082050989e+03	-6.8786872096e-01	-6.4132013814e-01	5.2005882538e+03	4.5715787517e+03	-4.7351452424e-01	-4.4821845272e-01	-1.7884977282e+06	-1.8134889344e+06	-2.2784261300e+06	-2.3088608991e+06	3.5050112755e+02	3.5703777254e+02	4.1792079020e-05	4.4834404532e-05	-2.2844358164e+02	-7.1118213758e-07	-1.8254377574e+01	2.0813581729e-12	-2.4991206246e+04	-3.0434769149e+04	6.5366449912e+00	3.0423255117e-06
1.9040986000e+09	1.5974809127e+03	3.3724958628e+03	3.1454448251e+03	3.8197952946e-05	3.7380531863e-05	1.3211452374e+03	1.3028033016e+03	6.6550202458e-12	8.6981935212e-12	8.9833236359e+03	8.0312733243e+03	-6.8174112883e-01	-6.3482369594e-01	5.2065935521e+03	4.5785827396e+03	-4.7068430103e-01	-4.4542478714e-01	-1.7881178352e+06	-1.8131030387e+06	-2.2688507888e+06	-2.2984954149e+06	3.5065760221e+02	3.5716373814e+02	4.1718361038e-05	4.4729762506e-05	-2.2705103768e+02	-8.1742108300e-07	-1.8341935787e+01	2.0431732754e-12	-2.4985203465e+04	-2.9644626116e+04	6.5061359342e+00	3.0114014681e-06
2.1760984000e+09	1.6025686932e+03	3.3784063439e+03	3.1527238131e+03	3.7792036271e-05	3.6873874157e-05	1.3200642147e+03	1.3016449225e+03	6.6053434974e-12	8.6115102957e-12	9.0021690735e+03	8.0540827655e+03	-6.7576073807e-01	-6.2851701040e-01	5.2125244615e+03	4.5854755558e+03	-4.6792061129e-01	-4.4271421189e-01	-1.7877128538e+06	-1.8126821038e+06	-2.2592978200e+06	-2.2881605068e+06	3.5081766111e+02	3.5729516024e+02	4.1645375268e-05	4.4626490723e-05	-2.2568253074e+02	-9.1816211325e-07	-1.8419292213e+01	2.0061667983e-12	-2.4969250028e+04	-2.8862686776e+04	6.4774991326e+00	2.9811154548e-06
2.4480982000e+09	1.6078215022e+03	3.3842589028e+03	3.1599234959e+03	3.7397261757e-05	3.6383330017e-05	1.3190322548e+03	1.3005410739e+03	6.5567069706e-12	8.5270448202e-12	9.0207438161e+03	8.0765404434e+03	-6.6995421279e-01	-6.2242140139e-01	5.2183078842e+03	4.5921895095e+03	-4.6523957686e-01	-4.4009924459e-01	-1.7872541243e+06	-1.8121983308e+06	-2.2498233518e+06	-2.2779131762e+06	3.5099971270e+02	3.5745010067e+02	4.1573355952e-05	4.4524812131e-05	-2.2433540695e+02	-1.0139317393e-06	-1.8491180947e+01	1.9703378495e-12	-2.4944206485e+04	-2.8089824401e+04	6.4503879687e+00	2.9514561786e-06
2.7200980000e+09	1.6131589742e+03	3.3900648366e+03	3.1670550564e+03	3.7012279641e-05	3.5907329827e-05	1.3180379230e+03	1.2994816237e+03	6.5089918072e-12	8.4445978530e-12	9.0391073144e+03	8.0987052909e+03	-6.6430636922e-01	-6.1651273500e-01	5.2239837312e+03	4.5987637600e+03	-4.6263170769e-01	-4.3756775822e-01	-1.7867569448e+06	-1.8116671955e+06	-2.2403990749e+06	-2.2677244291e+06	3.5119419160e+02	3.5761904197e+02	4.1502156089e-05	4.4424551356e-05	-2.2300978017e+02	-1.1049498140e-06	-1.8556299328e+01	1.9356060458e-12	-2.4910250736e+04	-2.7325354253e+04	6.4248503730e+00	2.9223952667e-06
