# This ASPECT-compatible file contains data to calculate the thermodynamic driving force in the PhaseTransitionKinetics material model. This table is for lower-mtz <==> upper-mtz evaluated along an isentrope produced by the BurnMan software.
# POINTS: 501
#
# pressure (Pa), temperature (K), density a (kg/m3), density b (kg/m3), thermal expansivity a (1/K), thermal expansivity b (1/K), specific heat a (J/K/kg), specific heat b (J/K/kg), compressibility a (1/Pa), compressibility b (1/Pa), seismic Vp a (m/s), seismic Vp b (m/s), seismic dVp/dT a (m/s/K), seismic dVp/dT b (m/s/K), seismic Vs a (m/s), seismic Vs b (m/s), seismic dVs/dT a (m/s/K), seismic dVs/dT b (m/s/K), molar internal energy a (J/mol), molar internal energy b (J/mol), molar Gibbs a (J/mol), molar Gibbs b (J/mol), molar entropy a (J/mol), molar entropy b (J/mol), molar volume a (m^3/mol), molar volume b (m^3/mol), delta density (kg/m3), delta thermal expansivity (1/K), delta specific heat (J/K/kg), delta compressibility (1/Pa), delta internal energy (J/mol), delta molar Gibbs (J/mol), delta molar entropy (J/K/mol), delta molar volume (m^3/mol)
pressure	temperature	density_a	density_b	thermal_expansivity_a	thermal_expansivity_b	specific_heat_a	specific_heat_b	compressibility_a	compressibility_b	pressure_wave_velocity_a	pressure_wave_velocity_b	pressure_wave_velocity_T_derivative_a	pressure_wave_velocity_T_derivative_b	shear_wave_velocity_a	shear_wave_velocity_b	shear_wave_velocity_T_derivative_a	shear_wave_velocity_T_derivative_b	molar_internal_energy_a	molar_internal_energy_b	molar_gibbs_a	molar_gibbs_b	molar_entropy_a	molar_entropy_b	molar_volume_a	molar_volume_b	delta_density	delta_thermal_expansivity	delta_specific_heat	delta_compressibility	delta_molar_internal_energy	delta_molar_gibbs	delta_molar_entropy	delta_molar_volume
1.0000000000e+05	1.5730000000e+03	3.4374123017e+03	3.3284882259e+03	3.4381754194e-05	4.1491320191e-05	1.3034393077e+03	1.3311986966e+03	6.3381914450e-12	7.0437490567e-12	9.2542097619e+03	8.8384985322e+03	-6.2239940071e-01	-7.3084114551e-01	5.4594930961e+03	5.1574778527e+03	-3.8136990479e-01	-4.9358633269e-01	-1.7819004885e+06	-1.7881601022e+06	-2.3210053954e+06	-2.3402133241e+06	3.4272663692e+02	3.5095832733e+02	4.0929916941e-05	4.2269940721e-05	-1.0892407580e+02	7.1095659968e-06	2.7759388937e+01	7.0555761173e-13	-6.2596137089e+03	-1.9207928715e+04	8.2316904056e+00	1.3400237804e-06
2.7209980000e+08	1.5752464034e+03	3.4434403579e+03	3.3350825645e+03	3.3992193695e-05	4.0965181706e-05	1.3022657167e+03	1.3294552075e+03	6.2890671868e-12	6.9832825376e-12	9.2735627442e+03	8.8607024589e+03	-6.1688067972e-01	-7.2293116376e-01	5.4650557591e+03	5.1653780479e+03	-3.7924515870e-01	-4.8987724357e-01	-1.7820775575e+06	-1.7884736925e+06	-2.3106519956e+06	-2.3295154586e+06	3.4260796459e+02	3.5075189855e+02	4.0858265390e-05	4.2186361891e-05	-1.0835779347e+02	6.9729880105e-06	2.7189490800e+01	6.9421535083e-13	-6.3961350734e+03	-1.8863462958e+04	8.1439339580e+00	1.3280965005e-06
5.4409960000e+08	1.5774814598e+03	3.4494292110e+03	3.3416276874e+03	3.3611839850e-05	4.0453499778e-05	1.3011236513e+03	1.3277658187e+03	6.2408341344e-12	6.9240545882e-12	9.2927515154e+03	8.8826838825e+03	-6.1149679072e-01	-7.1524674848e-01	5.4705543910e+03	5.1731809843e+03	-3.7717218879e-01	-4.8626986465e-01	-1.7822309417e+06	-1.7887578162e+06	-2.3003138376e+06	-2.3188357597e+06	3.4249230713e+02	3.5055028020e+02	4.0787327814e-05	4.2103733019e-05	-1.0780152353e+02	6.8416599284e-06	2.6642167324e+01	6.8322045380e-13	-6.5268745249e+03	-1.8521922105e+04	8.0579730722e+00	1.3164052044e-06
8.1609940000e+08	1.5797052551e+03	3.4553796164e+03	3.3481247216e+03	3.3240356372e-05	3.9955655756e-05	1.3000118634e+03	1.3261280336e+03	6.1934657933e-12	6.8660229809e-12	9.3117796007e+03	8.9044485378e+03	-6.0624267751e-01	-7.0777777755e-01	5.4759903620e+03	5.1808891751e+03	-3.7514910933e-01	-4.8275978806e-01	-1.7823611558e+06	-1.7890132095e+06	-2.2899907677e+06	-2.3081740173e+06	3.4237956873e+02	3.5035330806e+02	4.0717089182e-05	4.2022030748e-05	-1.0725489479e+02	6.7152993839e-06	2.6116170219e+01	6.7255718752e-13	-6.6520537710e+03	-1.8183249671e+04	7.9737393339e+00	1.3049415657e-06
1.0880992000e+09	1.5821057384e+03	3.4612709257e+03	3.3545498486e+03	3.2879171022e-05	3.9473484203e-05	1.2989480718e+03	1.3245637063e+03	6.1471163490e-12	6.8093698808e-12	9.3305374698e+03	8.9258702242e+03	-6.0114243404e-01	-7.0055740518e-01	5.4812948878e+03	5.1884149420e+03	-3.7318767484e-01	-4.7936696266e-01	-1.7824346379e+06	-1.7892059062e+06	-2.2797469381e+06	-2.2975958117e+06	3.4229135923e+02	3.5018295712e+02	4.0647786036e-05	4.1941543977e-05	-1.0672107708e+02	6.5943131809e-06	2.5615634515e+01	6.6225353183e-13	-6.7712682984e+03	-1.7848873627e+04	7.8915978918e+00	1.2937579415e-06
1.3600990000e+09	1.5872728551e+03	3.4668122554e+03	3.3605652143e+03	3.2551365619e-05	3.9038617337e-05	1.2981869537e+03	1.3233967650e+03	6.1041767252e-12	6.7570346829e-12	9.3474866596e+03	8.9451611829e+03	-5.9657843411e-01	-6.9413910936e-01	5.4855085102e+03	5.1945290466e+03	-3.7146845973e-01	-4.7640801654e-01	-1.7819838144e+06	-1.7888605379e+06	-2.2704688616e+06	-2.2880077956e+06	3.4252566688e+02	3.5034291604e+02	4.0582814884e-05	4.1866469188e-05	-1.0624704111e+02	6.4872517178e-06	2.5209811308e+01	6.5285795767e-13	-6.8767235220e+03	-1.7538933981e+04	7.8172491606e+00	1.2836543040e-06
1.6320988000e+09	1.5923977413e+03	3.4723265330e+03	3.3665470419e+03	3.2229966162e-05	3.8613550969e-05	1.2974409888e+03	1.3222576066e+03	6.0618903564e-12	6.7055928178e-12	9.3643312469e+03	8.9643114905e+03	-5.9210662976e-01	-6.8786872096e-01	5.4896854214e+03	5.2005882538e+03	-3.6978414194e-01	-4.7351452424e-01	-1.7815196125e+06	-1.7884977282e+06	-2.2611951191e+06	-2.2784261300e+06	3.4275700737e+02	3.5050112755e+02	4.0518366767e-05	4.1792079020e-05	-1.0577949108e+02	6.3835848061e-06	2.4816617756e+01	6.4370246139e-13	-6.9781156250e+03	-1.7231010864e+04	7.7441201766e+00	1.2737122526e-06
1.9040986000e+09	1.5974809127e+03	3.4778140980e+03	3.3724958628e+03	3.1914787842e-05	3.8197952946e-05	1.2967097298e+03	1.3211452374e+03	6.0202419692e-12	6.6550202458e-12	9.3810726787e+03	8.9833236359e+03	-5.8772824916e-01	-6.8174112883e-01	5.4938261379e+03	5.2065935521e+03	-3.6813492109e-01	-4.7068430103e-01	-1.7810422667e+06	-1.7881178352e+06	-2.2519257115e+06	-2.2688507888e+06	3.4298542855e+02	3.5065760221e+02	4.0454433744e-05	4.1718361038e-05	-1.0531823523e+02	6.2831651041e-06	2.4435507551e+01	6.3477827663e-13	-7.0755684502e+03	-1.6925077230e+04	7.6721736538e+00	1.2639272938e-06
2.1760984000e+09	1.6025686932e+03	3.4832702811e+03	3.3784063439e+03	3.1606038965e-05	3.7792036271e-05	1.2959970839e+03	1.3200642147e+03	5.9792570190e-12	6.6053434974e-12	9.3976857768e+03	9.0021690735e+03	-5.8342773711e-01	-6.7576073807e-01	5.4979144137e+03	5.2125244615e+03	-3.6651700014e-01	-4.6792061129e-01	-1.7805437815e+06	-1.7877128538e+06	-2.2426763651e+06	-2.2592978200e+06	3.4321618793e+02	3.5081766111e+02	4.0391066052e-05	4.1645375268e-05	-1.0486393722e+02	6.1859973053e-06	2.4067130827e+01	6.2608647844e-13	-7.1690722928e+03	-1.6621454961e+04	7.6014731845e+00	1.2543092167e-06
2.4480982000e+09	1.6078215022e+03	3.4886780489e+03	3.3842589028e+03	3.1304849663e-05	3.7397261757e-05	1.2953174071e+03	1.3190322548e+03	5.9390580296e-12	6.5567069706e-12	9.4140798209e+03	9.0207438161e+03	-5.7924624178e-01	-6.6995421279e-01	5.5018925824e+03	5.2183078842e+03	-3.6494651583e-01	-4.6523957686e-01	-1.7799957850e+06	-1.7872541243e+06	-2.2335020385e+06	-2.2498233518e+06	3.4346740224e+02	3.5099971270e+02	4.0328456231e-05	4.1573355952e-05	-1.0441914613e+02	6.0924120934e-06	2.3714847704e+01	6.1764894103e-13	-7.2583393177e+03	-1.6321313270e+04	7.5323104597e+00	1.2448997212e-06
