# This ASPECT-compatible file contains data to calculate the thermodynamic driving force in the PhaseTransitionKinetics material model. This table is for lower-mantle -> lower-mtz evaluated along an isentrope produced by the BurnMan software.
# POINTS: 501
#
# pressure (Pa), temperature (K), density a (kg/m3), density b (kg/m3), thermal expansivity a (1/K), thermal expansivity b (1/K), specific heat a (J/K/kg), specific heat b (J/K/kg), compressibility a (1/Pa), compressibility b (1/Pa), seismic Vp a (m/s), seismic Vp b (m/s), seismic dVp/dT a (m/s/K), seismic dVp/dT b (m/s/K), seismic Vs a (m/s), seismic Vs b (m/s), seismic dVs/dT a (m/s/K), seismic dVs/dT b (m/s/K), molar internal energy a (J/mol), molar internal energy b (J/mol), molar Gibbs a (J/mol), molar Gibbs b (J/mol), molar entropy a (J/mol), molar entropy b (J/mol), molar volume a (m^3/mol), molar volume b (m^3/mol), delta density (kg/m3), delta thermal expansivity (1/K), delta specific heat (J/K/kg), delta compressibility (1/Pa), delta internal energy (J/mol), delta molar Gibbs (J/mol), delta molar entropy (J/K/mol), delta molar volume (m^3/mol)
pressure	temperature	density_a	density_b	thermal_expansivity_a	thermal_expansivity_b	specific_heat_a	specific_heat_b	compressibility_a	compressibility_b	pressure_wave_velocity_a	pressure_wave_velocity_b	pressure_wave_velocity_T_derivative_a	pressure_wave_velocity_T_derivative_b	shear_wave_velocity_a	shear_wave_velocity_b	shear_wave_velocity_T_derivative_a	shear_wave_velocity_T_derivative_b	molar_internal_energy_a	molar_internal_energy_b	molar_gibbs_a	molar_gibbs_b	molar_entropy_a	molar_entropy_b	molar_volume_a	molar_volume_b	delta_density	delta_thermal_expansivity	delta_specific_heat	delta_compressibility	delta_molar_internal_energy	delta_molar_gibbs	delta_molar_entropy	delta_molar_volume
1.0000000000e+05	1.5730000000e+03	3.7674895950e+03	3.4374123017e+03	4.2489015204e-05	3.4381754194e-05	1.3539785201e+03	1.3034393077e+03	5.1331997017e-12	6.3381914450e-12	9.8530529523e+03	9.2542097619e+03	-5.9091157173e-01	-6.2239940071e-01	5.8335930075e+03	5.4594930961e+03	-4.9435234709e-01	-3.8136990479e-01	-1.3535113379e+06	-1.7819004885e+06	-1.7968291745e+06	-2.3210053954e+06	2.8183142029e+02	3.4272663692e+02	2.9875268707e-05	4.0929916941e-05	-3.3007729330e+02	-8.1072610105e-06	-5.0539212440e+01	1.2049917433e-12	-4.2838915059e+05	-5.2417622089e+05	6.0895216632e+01	1.1054648234e-05
2.7209980000e+08	1.5752464034e+03	3.7731362565e+03	3.4434403579e+03	4.2149043320e-05	3.3992193695e-05	1.3528727855e+03	1.3022657167e+03	5.1018067724e-12	6.2890671868e-12	9.8721991209e+03	9.2735627442e+03	-5.8515049059e-01	-6.1688067972e-01	5.8424153704e+03	5.4650557591e+03	-4.9034923040e-01	-3.7924515870e-01	-1.3537039648e+06	-1.7820775575e+06	-1.7893421618e+06	-2.3106519956e+06	2.8170518927e+02	3.4260796459e+02	2.9830559076e-05	4.0858265390e-05	-3.2969589854e+02	-8.1568496243e-06	-5.0607068755e+01	1.1872604144e-12	-4.2837359271e+05	-5.2130983381e+05	6.0902775322e+01	1.1027706314e-05
5.4409960000e+08	1.5774814598e+03	3.7787507877e+03	3.4494292110e+03	4.1816642389e-05	3.3611839850e-05	1.3517934494e+03	1.3011236513e+03	5.0708882147e-12	6.2408341344e-12	9.8911914559e+03	9.2927515154e+03	-5.7953927722e-01	-6.1149679072e-01	5.8511551334e+03	5.4705543910e+03	-4.8644168180e-01	-3.7717218879e-01	-1.3538822578e+06	-1.7822309417e+06	-1.7818637799e+06	-2.3003138376e+06	2.8158061609e+02	3.4249230713e+02	2.9786236332e-05	4.0787327814e-05	-3.2932157669e+02	-8.2048025395e-06	-5.0669798072e+01	1.1699459197e-12	-4.2834868385e+05	-5.1845005769e+05	6.0911691044e+01	1.1001091483e-05
8.1609940000e+08	1.5797052551e+03	3.7843338136e+03	3.4553796164e+03	4.1491513051e-05	3.3240356372e-05	1.3507393968e+03	1.3000118634e+03	5.0404313329e-12	6.1934657933e-12	9.9100335712e+03	9.3117796007e+03	-5.7407137680e-01	-6.0624267751e-01	5.8598143205e+03	5.4759903620e+03	-4.8262569255e-01	-3.7514910933e-01	-1.3540464954e+06	-1.7823611558e+06	-1.7743939551e+06	-2.2899907677e+06	2.8145764881e+02	3.4237956873e+02	2.9742292711e-05	4.0717089182e-05	-3.2895419715e+02	-8.2511566791e-06	-5.0727533430e+01	1.1530344604e-12	-4.2831466032e+05	-5.1559681255e+05	6.0921919916e+01	1.0974796471e-05
1.0880992000e+09	1.5821057384e+03	3.7898566317e+03	3.4612709257e+03	4.1175247563e-05	3.2879171022e-05	1.3497357449e+03	1.2989480718e+03	5.0105305700e-12	6.1471163490e-12	9.9286221121e+03	9.3305374698e+03	-5.6877533747e-01	-6.0114243404e-01	5.8683049135e+03	5.4812948878e+03	-4.7892758259e-01	-3.7318767484e-01	-1.3541686577e+06	-1.7824346379e+06	-1.7669854704e+06	-2.2797469381e+06	2.8135427741e+02	3.4229135923e+02	2.9698950366e-05	4.0647786036e-05	-3.2858570599e+02	-8.2960765414e-06	-5.0787673188e+01	1.1365857790e-12	-4.2826598023e+05	-5.1276146773e+05	6.0937081822e+01	1.0948835670e-05
1.3600990000e+09	1.5872728551e+03	3.7949185596e+03	3.4668122554e+03	4.0892763948e-05	3.2551365619e-05	1.3491374569e+03	1.2981869537e+03	4.9826146563e-12	6.1041767252e-12	9.9455029670e+03	9.3474866596e+03	-5.6411077341e-01	-5.9657843411e-01	5.8753992183e+03	5.4855085102e+03	-4.7574899651e-01	-3.7146845973e-01	-1.3538602940e+06	-1.7819838144e+06	-1.7603669701e+06	-2.2704688616e+06	2.8151827058e+02	3.4252566688e+02	2.9659335828e-05	4.0582814884e-05	-3.2810630418e+02	-8.3413983288e-06	-5.0950503155e+01	1.1215620689e-12	-4.2812352033e+05	-5.1010189150e+05	6.1007396301e+01	1.0923479056e-05
1.6320988000e+09	1.5923977413e+03	3.7999608473e+03	3.4723265330e+03	4.0615255064e-05	3.2229966162e-05	1.3485484885e+03	1.2974409888e+03	4.9550531272e-12	6.0618903564e-12	9.9622896727e+03	9.3643312469e+03	-5.5954105062e-01	-5.9210662976e-01	5.8824531054e+03	5.4896854214e+03	-4.7262806278e-01	-3.6978414194e-01	-1.3535457141e+06	-1.7815196125e+06	-1.7537481570e+06	-2.2611951191e+06	2.8167910875e+02	3.4275700737e+02	2.9619979921e-05	4.0518366767e-05	-3.2763431433e+02	-8.3852889016e-06	-5.1107499696e+01	1.1068372292e-12	-4.2797389845e+05	-5.0744696216e+05	6.1077898619e+01	1.0898386846e-05
1.9040986000e+09	1.5974809127e+03	3.8049837409e+03	3.4778140980e+03	4.0342570102e-05	3.1914787842e-05	1.3479685215e+03	1.2967097298e+03	4.9278385617e-12	6.0202419692e-12	9.9789836815e+03	9.3810726787e+03	-5.5506296667e-01	-5.8772824916e-01	5.8894671884e+03	5.4938261379e+03	-4.6956294105e-01	-3.6813492109e-01	-1.3532249987e+06	-1.7810422667e+06	-1.7471290766e+06	-2.2519257115e+06	2.8183685002e+02	3.4298542855e+02	2.9580879095e-05	4.0454433744e-05	-3.2716964294e+02	-8.4277822603e-06	-5.1258791713e+01	1.0924034074e-12	-4.2781726803e+05	-5.0479663489e+05	6.1148578530e+01	1.0873554648e-05
2.1760984000e+09	1.6025686932e+03	3.8099804846e+03	3.4832702811e+03	4.0074986986e-05	3.1606038965e-05	1.3474033741e+03	1.2959970839e+03	4.9009881630e-12	5.9792570190e-12	9.9955611725e+03	9.3976857768e+03	-5.5068121141e-01	-5.8342773711e-01	5.8964206853e+03	5.4979144137e+03	-4.6655869122e-01	-3.6651700014e-01	-1.3528913963e+06	-1.7805437815e+06	-1.7405226946e+06	-2.2426763651e+06	2.8199588711e+02	3.4321618793e+02	2.9542084127e-05	4.0391066052e-05	-3.2671020351e+02	-8.4689480210e-06	-5.1406290191e+01	1.0782688560e-12	-4.2765238524e+05	-5.0215367052e+05	6.1220300820e+01	1.0848981924e-05
2.4480982000e+09	1.6078215022e+03	3.8149271330e+03	3.4886780489e+03	3.9813788966e-05	3.1304849663e-05	1.3468737237e+03	1.2953174071e+03	4.8745776620e-12	5.9390580296e-12	1.0011936724e+04	9.4140798209e+03	-5.4641881559e-01	-5.7924624178e-01	5.9032404344e+03	5.5018925824e+03	-4.6363664123e-01	-3.6494651583e-01	-1.3525212499e+06	-1.7799957850e+06	-1.7339742007e+06	-2.2335020385e+06	2.8217130853e+02	3.4346740224e+02	2.9503778205e-05	4.0328456231e-05	-3.2624908404e+02	-8.5089393028e-06	-5.1556316569e+01	1.0644803676e-12	-4.2747453514e+05	-4.9952783783e+05	6.1296093715e+01	1.0824678026e-05
